"91RFLB
",RENAULT,Megane gr tour 16 16v,Benzine,2005,"€ 5.557,-",Stationwagen,1190 kg,1598 cm³,83 kW (113 pk),164 g/km
"12NGL1
",CHRYSLER,Grand voyager,Benzine,2010,"€ 26.015,-",Mpv,2000 kg,3778 cm³,142 kW (193 pk),294 g/km
"16BJZF
",NISSAN,Primastar 1200 l2 h1 19 dci 82,Diesel,2003,Niet geregistreerd,1701 kg,1870 cm³,60 kW (82 pk),onbekend
"53VFR7
",TOYOTA,Hiace 25 d-4d 95 lang,Diesel,2007,"€ 8.423,-",Niet geregistreerd,1760 kg,2494 cm³,70 kW (95 pk),onbekend
"27VBD3
",MERCEDES-BENZ,639 vito 109 cdi,Diesel,2006,"€ 8.398,-",Niet geregistreerd,1720 kg,2148 cm³,65 kW (88 pk),onbekend
"5TZG30
",HYUNDAI,Ix35,Benzine,2010,"€ 4.671,-",Mpv,1280 kg,1591 cm³,99 kW (135 pk),149 g/km
"20GPLX
",DAIHATSU,Yrv,Benzine,2001,"€ 2.854,-",Stationwagen,862 kg,1298 cm³,64 kW (87 pk),145 g/km
"40XVNG
",TOYOTA,Prius,Benzine,2007,"€ 3.190,-",Hatchback,1275 kg,1497 cm³,57 kW (77 pk),104 g/km
"28XDBJ
",CITROEN,C3,Benzine,2007,"€ 3.672,-",Hatchback,989 kg,1360 cm³,54 kW (73 pk),145 g/km
"VT075J
",MERCEDES-BENZ,Vito,Diesel,2016,"€ 9.632,-",Niet geregistreerd,1771 kg,1598 cm³,65 kW (88 pk),166 g/km
"ZB935S
",FORD,Transit custom,Diesel,2019,"€ 24.418,-",Mpv,1934 kg,1995 cm³,77 kW (105 pk),165 g/km
"38BZNV
",FORD,Transit 280m fd van 110 mr 423,Diesel,2006,"€ 9.585,-",Niet geregistreerd,1770 kg,2198 cm³,81 kW (110 pk),onbekend
"XB21TJ
",FORD,Escort 13 cl s6,Benzine,1989,Hatchback,816 kg,1297 cm³,44 kW (60 pk),onbekend
"21LTLD
",AUDI,A3 92 KW,Benzine,2003,"€ 5.986,-",Hatchback,1135 kg,1781 cm³,92 kW (125 pk),190 g/km
"79XFNK
",RENAULT,Clio,Benzine,2007,"€ 2.736,-",Hatchback,1065 kg,1149 cm³,55 kW (75 pk),139 g/km
